Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-06-04 20:00:00,-0.25,-0.13,46.95
2020-09-02 20:00:00,-0.4,-0.22,44.41
2020-12-08 21:00:00,-0.44,-0.31,30.05
2021-03-09 21:00:00,-0.39,-0.33,14.93
2021-06-03 20:00:00,-0.36,-0.15,58.33
2021-09-02 20:00:00,-0.4,-0.24,40.27
2021-12-06 21:00:00,-0.38,-0.11,70.89
2022-03-08 21:00:00,-0.21,-0.09,57.32
2022-06-01 20:00:00,-0.1,0.2,305.21
2022-08-31 20:00:00,-0.28,-0.23,18.67
2022-12-06 21:00:00,-0.17,0.23,236.65
2023-03-08 21:00:00,0.08,0.57,656.57
2023-06-01 20:00:00,0.19,0.56,195.3
2023-08-31 20:00:00,0.45,0.93,105.68
2023-12-05 21:00:00,0.5,0.96,93.52
2024-03-07 21:00:00,0.47,0.86,82.61
2024-05-30 20:00:00,0.37,0.51,36.46
2024-08-29 20:00:00,0.48,0.7,44.41
2024-12-09 21:00:00,0.69,1.16,68.93
2025-03-05 21:00:00,0.67,1.28,91.05
2025-06-04 20:00:00,0.66,1.0,51.96
2025-08-26 20:00:00,0.66,1.0,52.39
2025-12-01 21:00:00,0.79,1.32,66.91
2026-03-02 21:00:00,-0.03,0.18,700.4
